"orders","avg_revenue"
"1",9.607142857142858
"2",8.694855442176872
"3",9.259463175713176
"4",8.871298256667574
"5",8.942369063697077
"6",9.059502934869617
"7",9.21137741071337
"8",9.155229689735211
"9",9.143617142123995
"10",9.126029770881365
"11",8.952044681442581
"12",9.13115960633436
"13",9.12257653913242
"14",9.08805042045932
"15",8.983370207239767
"16",9.011423666733714
"17",8.95991570437742
"18",9.049657668516499
"19",9.184679282459667
"20",8.741355856550193
"21",9.052095174940002
"22",9.266792385057471
"23",8.649142367066895
"26",9.072463768115941
